Variable Name,Short Description,Long Description (Summarized)
PL130,SIZE OF THE LOCAL UNIT FOR MAIN JOB,"This variable refers to the main job. If multiple jobs are held or were held, the main job should be considered as the one in which the greatest number of hours are usually worked. The person themselves should be included in the total number, as should the employer. For the definition of ‘local unit’ see PL100: Total number of hours usually worked in second, third jobs etc., and Annex 5: The enterprise and local unit. Suggested question: FILTER: If PL032 = 1, go to PL130_Q1; If PL032 not in (2, 3, 4, 5, 6, 7, 8) >> go to the next question. PL130_Q1: How many employees are working in the local unit where you are working (including yourself)? _______(1-9) 10 11 12 13 14 15 Exact number of persons, if between 1 and 9 10 to 19 persons 20 to 49 persons 50 to 249 persons 250 persons or more Do not know but less than 10 persons Do not know, but 10 persons or more"
PL035,WORKED AT LEAST ONE HOUR DURING THE,"A person is considered as working if they did any work for pay or profit during the reference week or if they were not working but had a job or business from which they were absent during the reference week. For persons who were not working but had a job or business, those who fit into the cases listed below should be considered as ‘working’: - employees (including those on holidays, sick leave, maternity/paternity leave) - long-term absent from work - seasonal workers - maternity and paternity leave - unpaid family workers (including those on holidays, sick leave, maternity/paternity leave) - self-employed persons (including those on holidays, sick leave, maternity/paternity leave) - not working because of lay-off - slack work for technical or economic reasons. A detailed description of each case to be considered as ‘working’ is provided below. Did any work for pay or profit during the reference week (LFS definition) ‘Work’ means any work for pay or profit during the reference week, even for as little as 1 hour. Pay includes cash payments or payment in kind (payment in goods or services rather than money), whether payment was received in the week the work was done or not. Anyone who receives wages for on-the-job training that involves the production of goods or services is also counted as working. Self-employed persons with a business, farm or professional practice are also considered to be working if one of the following applies: - A person working in their own business, professional practice or farm for the purpose of earning a profit, even if the enterprise is failing to make a profit."
PL025,AVAILABLE FOR WORK,"This covers a person who is currently available for work, i.e. was available for paid employment or self- employment before the end of the 2 weeks following the reference week. ‘Currently available' means that if a job were found at the time of the interview, the person would be able to start working within 2 weeks. Testing for availability in the 2 weeks after the interview is considered more appropriate than testing during the reference week, because some persons may be unavailable for work during the reference week due to obstacles that might have been overcome had they known that a job was available to them. Persons who found a job to start later, i.e. within 3 months, should be encoded ‘Yes’. Suggested question: FILTER: If PL035=1 >> go to the next question PL025_Q1: If a job became available, would you be able to start within the next 2 weeks? 1. Yes 2. No"
PL020,ACTIVELY LOOKING FOR JOB,"This variable only applies to persons aged 16-74 who are not currently working, where ‘working’ refers to the self-defined status as recorded in PL035: worked at least 1 hour during the previous week. However, people above the standard retirement age are not covered by this variable. In these cases, the filter is applied to skip over the question that asks for information in this variable. The period of reference for this variable is the past 4 weeks, ending with the reference week. The answer will be ‘Yes’ if the person has been actively looking for a job over the past 4 weeks. The answer ‘Yes’ should be recorded only if the person has used an active method of looking for a job. Education and training are considered as ways of improving employability but not as active method of looking for a job. Persons who found a job that began later, i.e. within a period of at least 3 months, should be encoded ‘Yes’. Active methods of looking for a job: - having been in contact with a public employment office to find work, whoever took the initiative (renewing registration for administrative reasons only is not an active method); - having been in contact with a private agency (temporary employment agency, firm specialising in recruitment, etc.) to find work; - applying to employers directly; - asking friends, relatives, trade unions, etc. to help find work; - placing or answering job advertisements; - studying job advertisements; - taking a recruitment test or examination or sitting an interview; - looking for land, premises or equipment;"
PL120,REASON FOR WORKING LESS THAN 30 HOURS,"This variable is intended to capture the idea of underemployment (working fewer hours than the person would prefer because they cannot find a job working more hours; see for example the Working Group on Employment Statistics, 2001b). The target variable in EU-SILC will not capture a fully harmonised definition of underemployment, however: to do so would require a larger number of items than the space constraints permit. The cut-off filter for the EU-SILC item is set relatively high (at 30 hours for all of the jobs) so as to capture as many as possible of those people who wish to work a greater number of hours. This variable refers to the main reason for working less than 30 hours. Only one response, therefore, must be selected. In cases where more than one reason applies and the main reason is not clear, the list should be treated in order of priority, with code 1 indicating the highest priority and code 7 the lowest. For a description of what should be counted as the number of hours worked, please refer to the description included in PL060 (Number of hours usually worked per week in the main job). Suggested question: FILTER: IF PL032≠1 or (PL032=1 and PL060 + PL100 >=30) >> go to the next question Person is working (PL032=1) and PL060 + PL100<30 >> go to PL120_Q1 PL120_Q1: What is the main reason why you are working [NUMBER OF HOURS] (less than 30) hours per week? 1 2 3 4 5 6 Undergoing education or training Personal illness or disability Wants to work more hours but cannot find a job(s) or work of more hours Does not want to work more hours Number of hours in all job(s) are considered as a full-time job Housework, looking after children or other persons"
PL280,LENGTH OF REGISTRATION OF UNEMPLOYMENT,"This variable should be collected only among persons who in PL211A to PL211L gave the answer ‘5’. It collects information on the period of unemployment during the income reference period. ‘Registered’ should be understood as a person who was registered with the local unemployment office as unemployed. Suggested question: FILTER: If PL211A to PL211L ≠ 5 or RB081≠16-74 >> go to the next question PL280_Q1: You said that you have been unemployed during the last calendar year. During this period of unemployment, have you been registered as such for: 1. The whole period 2. Part of the period 3. Not registered at all"
PE030,YEAR WHEN HIGHEST LEVEL OF EDUCATION,"The ‘year when the highest level of education was successfully completed’ refers to the educational attainment as reported in variable ‘educational attainment level’ (PE041), and its implementation guidelines apply accordingly. If the respondent does not know the exact date (e.g. when there is a proxy respondent), an estimation should be provided. Auxiliary questions on the age of the respondent when completing the highest level of education or how many years ago the highest level of education was completed should be asked to allow an estimation if the respondent does not remember the year. One possible way to estimate ‘year when the highest level of education was attained’ is based on the year of birth and the age at completion of the highest level of education or, if unknown, the usual duration (without interruption) for a particular level of educational attainment. Where two vocational qualifications are obtained from programmes at the same ISCED level, the most recent qualification should be used for completing the variable ‘year of the successful completion of the highest educational level’ and for giving the field of this education programme. Successful completion of programmes at ISCED levels 2 or 3, which gives access to programmes at a higher ISCED level (which for ISCED level 3 is ISCED levels 5, 6 or 7), is considered as level completion. The flag ‘-2 not applicable' covers individuals with no formal education or an educational attainment level below ISCED 1. The variable refers to the year when the highest level of education was successfully completed and is expressed in four digits."
PE050,EDUCATION INTERRUPTED OR ABANDONED,"Formal education or training is defined according to the International Standard Classification of Education 2011 (ISCED 2011), see http://uis.unesco.org/sites/default/files/documents/international-standard- classification-of-education-isced-2011-en.pdf ‘Formal education and training interrupted or abandoned’ means that a person has started a formal education programme, but has not successfully completed this programme. According to ISCED 2011, ‘a common characteristic of an education programme is that, upon fulfilment of learning objectives or educational tasks, successful completion is certified.’ Accordingly, abandoning formal education is defined as leaving formal education without certification or a diploma, and without obtaining the final credential associated with this formal education. This variable aims to find out if respondents ever started but did not successfully complete a formal education programme. In addition to the information provided in PE041 Educational attainment level, this variable provides a general picture of people who have ever started but then not completed some other formal education (‘dropouts’). It also makes possible some further analyses of people with a low level of education (i.e. whether a person with at most lower secondary education ever started upper secondary education but then left without attaining a qualification at this level). There is no specific reference period, i.e. the variable covers all formal education activities abandoned during the life of the person. There is a limitation in the age group; this variable needs to be asked only for persons aged 16-34 years old. If a person changes their field of studies, then this is considered as abandoning formal education. For example, a person who started a bachelor programme in social sciences, then stopped without successfully completing it (i.e. without receiving the certification) and then started a bachelor programme in economics is"
HS160,"PROBLEMS WITH THE DWELLING: TOO DARK,","The objective is to assess whether the respondent feels that ‘the dwelling is too dark, without enough daylight’ is a problem for the household. No common objective standards as to what a ‘problem’ means are implied. The question asks whether the household feels that there is a problem with most of the rooms being too dark (not necessarily all of the rooms). It is recommended to consider whether the dwelling is ‘too dark, without enough daylight’ on a sunny day, which means that artificial lighting should not be taken into account. Suggested question: HS160_Q1: Is your dwelling too dark, meaning is there not enough daylight coming through the windows? 1. Yes 2. No"
HS170,NOISE FROM NEIGHBOURS OR FROM THE,"The objective is to assess whether the respondent feels that ‘noise from neighbours or from outside’ is a problem for the household (not whether they are bothered by the problem). No common standards as to what constitutes a problem are defined. A reference to the dwelling should be clearly indicated both in the national questionnaires and in the national interviewers’ guidelines. Both aspects of noise from neighbours and outside are to be covered and specified in the question as well as in the interviewers’ guidelines. In relation to ‘noise from neighbours’, no details are to be included in the question itself. In the interviewers’ guidelines, noise from neighbours could be described as noise from a neighbouring apartment, staircase or water pipe, for example. Reference is to be made to ‘noise from outside’ and not to ‘noise from the street’. 'Noise from outside' should be made explicit in the question. In the national questionnaires, traffic, businesses, factories, etc. should be specified in brackets. In the interviewers’ guidelines, 'noise from outside' should be described as noise linked to traffic (street or road, plane, railway), linked to businesses, factories, agricultural activities, clubs and yard. This information should be included as an item under a single question. Suggested question: HS170_Q1: Do you have any of the following problems related to the place where you live: too much noise in your dwelling from neighbours or from outside (traffic, a business, a factory, etc.)? 1. Yes 2. No"
HC020,SIZE OF THE DWELLING IN SQUARE METRES,"The dwelling size refers to the useful floor space using the same definition as for the population and housing census and as recommended in the Programme of Current Housing and Building Statistics for Countries in the UNECE Region (Statistical Standards and Studies No. 43). Useful floor space is defined as the floor space measured inside the outer walls, excluding non-habitable cellars and attics and, in multi-dwelling buildings, all common spaces. Households should declare the area of dwelling that can be used exclusively. If part of the dwelling area is shared with other households (within the same dwelling), the procedure is as follows: − if the number of persons living in all households occupying the same dwelling is known, the shared area should be divided by the number of persons living there and that part of the shared area should be added to each household according to the number of members; − if only the number of households occupying the same dwelling is known, the shared area should be divided by the number of households and an equal share should be added to each household; − in all other cases, the shared space should be added to each household. The square metres divided by the number of occupants in a dwelling is needed to measure the dwelling density. Suggested question: HC020_Q1: What is the size of your dwelling, in square metres? If you don’t know, please give an estimate. [It refers to the floor space measured inside the outer walls, excluding non-habitable cellars and attics. In multi-dwelling buildings it excludes all common spaces] _____________square metres (number, 0-999)"
HC080,OVERALL SATISFACTION WITH THE DWELLING,"The variable refers to the respondent’s degree of satisfaction with the dwelling in terms of meeting the household’s needs, and their opinion of the price (the financial burden related to the main dwelling). This also takes into account the space, neighbourhood, and distance to work, quality of the dwelling and other aspects. The assessment is based on the respondent’s own perception of their dwelling. If the respondent has several dwellings, they should refer to the main dwelling only. Suggested question: HC080_Q1: Overall, how satisfied is your household with your dwelling? [Consider the main dwelling only] 1. Very dissatisfied 2. Dissatisfied 3. Satisfied 4. Very satisfied"
HY030,IMPUTED RENT,"The imputed rent refers to the value that must be imputed for all households that do not report themselves as paying full rent, either because they are owner-occupiers or they live in accommodation rented at a lower price than the market price, or because the accommodation is provided rent-free. The imputed rent must be estimated only for those dwellings (and any associated buildings such as garages) that are used as a main residence by the households. The value to impute is the equivalent rent that must be paid for a similar dwelling as that occupied, less: (i) any rent actually paid (if the accommodation is rented at a lower price than the market price), (ii) expenditure on minor repairs or refurbishment. Costs for heating, water electricity, etc. are excluded. Repairs leading to improvements or fixing major problems in the dwelling are also excluded. If the respondent is identified as a ‘Tenant or subtenant paying rent at the prevailing or market rate’ (HH021 =3), the value recorded for this variable should be 0. Depreciation (consumption of fixed capital) must not be taken into account because it is likely to be offset or superseded by variation in the market value of the dwelling. These are not covered in EU-SILC. The market rent is the rent due for the right to use an unfurnished dwelling on the private market, excluding charges for heating, water, electricity, etc. By extension, the private market also includes the market that is regulated by government regulations. Several methods for estimating ‘gross’68 imputed rent are available: - the regression/stratification method based on actual rents; - the user cost method based on the estimation of cost incurred for homeownership by foregoing the opportunity to invest in financial assets from which real income flows are created by interest and dividends; - the self-assessment method; - the administrative assessment method, generally for fiscal purposes; For the sake of comparability between countries, a regression/stratification method should be applied, except for duly justified cases, in particular when the private rental market represents less than 10% of the market 68 i.e. before deduction of owner cost for maintenance and minor repairs."
HH040,"LEAKING ROOF, DAMP","The aim of this variable is to obtain an objective measure of the condition of the dwelling; whether the dwelling has a problem with a leaking roof and/or damp ceilings, dampness in the walls, floors or foundations and/or rot in window frames and doors. Suggested question: HH040_Q1: Do you have any of the following problems with your dwelling/accommodation? - A leaking roof - Damp walls/floors/foundations -     Rot in window frames or floor 1. Yes 2. No"
HS140,FINANCIAL BURDEN OF THE TOTAL HOUSING,"The objective is to assess the respondent’s feelings about the extent to which housing costs are a financial burden on the household. That should be clearly indicated/specified both in the national questionnaires and in the related interviewers’ guidelines. Total mortgage repayments, including instalments and interest, are to be taken into account for owners. For renters, actual rent is to be taken into account. In addition, service charges (sewage removal, rubbish collection, regular maintenance, repairs and other charges) are to be taken into account. Only those housing costs that are actually paid have to be taken into account, i.e. the variable should cover what the household should actually pay and should not take into account the accumulation of arrears over past periods. For the definition of housing costs, please refer to explanations given for variable HH070. Suggested question: HS140_Q1: Please consider your total housing costs including mortgage repayments (instalments and interest) or rent, insurance and service charges (sewage removal, rubbish collection, regular maintenance, repairs and other charges). To what extent are these costs a financial burden on you? [Please note: only actual paid housing costs have to be taken into account] Would you say they are: 1. A heavy burden; 2. A slight burden; 3. No burden at all."
HS180,"POLLUTION, GRIME OR OTHER ENVIRONMENTAL","The objective is to assess whether the respondent feels ‘pollution, grime, etc.…’ to be a problem for the household (not whether they are bothered by the problem). No common standards as to what constitutes a problem are defined. A reference to the local area (situated close to where the respondent lives) should be clearly indicated both in the national questionnaires and in the national interviewers’ guidelines. A detailed list of examples (road dust, exhaust gases from vehicles; smoke, dust or unpleasant smells from factories; unpleasant smells from waste or sewage; polluted water from water pipes as well as polluted rivers) is proposed for inclusion only in the interviewers’ guidelines, not in national questionnaires. An explicit reference to the specific problem caused by traffic or industry is not to be included in the national questionnaires, but is to be included in the interviewers’ guidelines. This question should be included as an item under a single question. Suggested question: HS180_Q1: Do you have any of the following problems related to the place where you live: pollution, grime or other environmental problems such as smoke, dust, unpleasant smells or polluted water? 1. Yes 2. No"
HS190,"CRIME, VIOLENCE OR VANDALISM IN THE AREA","The objective is to assess whether the respondent feels ‘crime, violence or vandalism’ to be a problem for the household (not whether they are bothered by the problem). No common standards as to what constitutes a problem are defined. A reference to the area (situated close to the place where you live) should be clearly indicated both in the national questionnaires and in the national interviewers’ guidelines. A clear definition is to be provided for ‘crime’: the translation of the word ‘crime’ is to be carefully checked as it has a different meaning in different languages. Crime is to be defined as a deviant behaviour that violates prevailing norms, specifically, cultural standards prescribing how humans ought to behave normally. A legalistic approach is not to be used (this is not defined as any blameworthy act or omission prohibited by law and penalised by the state). Examples are only to be given in the interviewers’ guidelines and can include thefts or illegal activities. This question should be included as an item under a single question. Suggested question: HS190_Q1: Do you have any of the following problems related to the place where you live: crime, violence and vandalism in the local area? 1. Yes 2. No"
HH081,BATH OR SHOWER IN DWELLING (OPTIONAL),"This variable replaces, from the 2008 operation onwards, the HH080 variable defined in the EU-SILC Regulation. A shower unit or bathtub outside the dwelling are not to be considered in this item. However, the shower unit or the bath do not have to occupy a separate room. Suggested question: HH081_Q1: Is there a shower unit or bathtub in your dwelling? 1. Yes, for the sole use of the household 2. Yes, shared 3. No"
HH091,INDOOR FLUSHING TOILET FOR SOLE USE OF,"This variable replaces, from the 2008 operation onwards, the HH090 variable defined in the EU-SILC Regulation69. Flushing toilets outside the dwelling are not to be considered in this item. However, a flushing toilet in a room with a shower unit or a bath should be counted. Suggested question: HH091_Q1: Is there an indoor flushing toilet in your dwelling? 1. Yes, for the sole use of the household 2. Yes, shared 3. No 69 The Living Conditions Working Group agreed during its meeting in 2010 to delete HH090 and to keep only HH091 from the 2011 operation onwards."
PT220,TYPE OF HOUSEHOLD WHEN RESPONDENT WAS,"The respondent is asked to provide information on the type of household where they lived when they were around 14 years old. Collective households or institutions are for instance: hospitals, children’s homes, residential homes, correction facilities, military barracks, religious institutions, boarding houses and workers’ hostels, etc. Boarding schools are not to be considered as institutional households. For a respondent who alternated between two households and spent an equal amount of time with both legal guardians or parents (when they were around 14 years old), the household in which the respondent was officially registered (recorded in the population register or passport or some other document) should be the one considered. The household considered could also be the one of the legal guardian or the parent who received the child benefits or who contributed more towards the child-related costs. If none of the above are applicable, the household in which the respondent felt more at home should be considered. Suggested question: FILTER: IF Age < 25 or Age > 59, then >> Go to the next question IF 25 ≤ Age ≤ 59 >> go to PT220_Q1 PT220_Q1: In what type of household did you live when you were around 14 years old? 1. Private household 2. Lived in a collective household or institution"
PT230,PRESENCE OF MOTHER WHEN RESPONDENT WAS,"This variable aims to obtain information on whether the respondent’s mother was present in their life. If the respondent did not live with their mother, it collects information on whether the respondent had contact with the parent. The mother should be considered as a person who actually raised the respondent and acted as their mother, e.g. the female guardian, stepmother, adoptive mother, mother figure, etc. If the mother did not live in the same household and the respondent had no contact with them, further information about the mother should not be collected. If the parents of the respondent were divorced or separated and shared custody (50% of the time for each parent), the respondent has the option to: - select their household on an objective basis, taking into account their main address when they were around 14 years old (i.e. the one in the population register and/or on their ID card or passport); - select their household on a subjective basis according to where they felt more at home when they were around 14 years old. If the parents of the respondent were divorced or separated and did not share custody equally, the household should be the one where the respondent lived all or most of the time. For a person with two male parents, this variable could be used to report the presence of one of the fathers."
PT240,PRESENCE OF FATHER WHEN RESPONDENT WAS,"This variable aims to obtain information on whether the father of the respondent was present in their life. If the respondent did not live with their parent, it collects information on whether respondent had contact with the parent. The father should be considered as a person who actually raised the respondent and acted as their father, e.g. the male guardian, stepfather, adoptive father, father figure, etc. If the father did not live in the same household and the respondent had no contact with the parent, further information about the father should not be collected. If the parents of the respondent were divorced or separated and shared custody (50% of the time for each parent), the respondent has the option to: - select their household on an objective basis, taking into account their main address when they were around 14 years old (i.e. the one in the population register and/or on their ID card or passport); - select their household on a subjective basis according to where they felt more at home when they were around 14 years old. If the parents of the respondent were divorced or separated and did not share custody equally, the household should be the one where the respondent lived all or most of the time. For a person with two female parents, this variable could be used to report the presence of one of the mothers. Suggested question: FILTER: IF Age < 25 or Age > 59, then >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = ‘2’ >> go to the next question IF 25≤ Age≤59 and PT220 = 1 >> go to PT240_Q1"
PT070,CITIZENSHIP OF THE FATHER (OPTIONAL),"The citizenship that the respondent’s father (or the person they considered to be their father) had during the reference period (i.e. when the respondent was around 14 years old). Citizenship means the particular legal bond between an individual and their state, acquired by birth or naturalisation, whether by declaration, choice, marriage or other means according to national legislation. It generally corresponds to the country issuing the passport. For persons with multiple citizenships and where one of these is citizenship of the country of residence, that citizenship should be encoded. Information on the country of main citizenship should be obtained in accordance with the current administrative status or legal situation of the individual. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO, which is largely based on the ISO 3166 country codes (3166-1 alpha-2). The short list of country codes corresponds to the Ramon (GEO) classification as defined in the Annex to the guidelines for standardised variables and is included in Annex 10. The category ‘stateless’ corresponds to a person without recognised citizenship of a state (STLS). The flag ‘-1’ will be used to count statistical units that are part of the population of the data source but for which it systematically does not report any information on that variable. The category ‘country of main citizenship’ (SCL GEO code) may also be used for the transmission of information on ‘recognised non-citizens’. A recognised non-citizen is a person who is not a citizen of the reporting country nor of any other country, but who has established links to that country that include some but not all of the rights and obligations of full citizenship. A majority of such persons were citizens of the former Soviet Union living in the Baltic"
PT100,CITIZENSHIP OF THE MOTHER (OPTIONAL),"The citizenship that the respondent’s mother (or the person they considered to be their mother) had during the reference period (i.e. when the respondent was around 14 years old). Citizenship means the particular legal bond between an individual and their state, acquired by birth or naturalisation, whether by declaration, choice, marriage or other means according to national legislation. It generally corresponds to the country issuing the passport. For persons with multiple citizenships and one of these is citizenship of the country of residence, that citizenship should be encoded. Information on the country of main citizenship should be obtained in accordance with the current administrative status/legal situation of the individual. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO, which is largely based on the ISO 3166 country codes (3166-1 alpha-2). The short list of country codes corresponds to the Ramon (GEO) classification as defined in the Annex to the guidelines for standardised variables and is included in Annex 10. The category ‘stateless’ corresponds to a person without recognised citizenship of a state (STLS). The flag ‘-1’ will be used to count statistical units that are part of the population of the data source but for which it systematically does not report any information on that variable. The category ‘country of main citizenship’ (SCL GEO code) may also be used for the transmission of information on ‘recognised non-citizens’. A recognised non-citizen is a person who is not a citizen of the reporting country nor of any other country, but who has established links to that country that include some but not all the rights and obligations"
PT110,HIGHEST LEVEL OF EDUCATION ATTAINED BY THE,"The highest education that the father (or person considered as a father) had attained before or during the period when the respondent was around 14 years old. The father (or person considered as the father) could be living in the same private household as the respondent or elsewhere. The father could also have died before or during the reference period. The level is defined according to the International Standard Classification of Education 2011 (ISCED 2011, see http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011- en.pdf). ‘Low level’ of education corresponds to levels 00, 10, and 20 of ISCED 2011. The person should be encoded ‘1’ if the father could neither read nor write in any language even if he had had some formal education. If the father had never been in education but could read and/or write in any language (i.e. in particular not only the survey language(s)), it should be encoded as value 1 ‘low level’. ’Medium level’ of education corresponds to levels 30 to 49 of ISCED 2011. ‘High level’ of education corresponds to ISCED level 50 and higher. For detailed guidelines, please refer to the ‘Methodological guidelines 2023 operation’, PE021 variable. Suggested question:"
PT120,HIGHEST LEVEL OF EDUCATION ATTAINED BY THE,"The highest education that the mother (or person considered as a mother) had attained before or during the period when the respondent was around 14 years old. The mother (or person considered as the mother) could be living in the same private household as the respondent or elsewhere. The mother could also have died before or during the reference period. The level is defined according to the International Standard Classification of Education 2011 (ISCED 2011, see http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011- en.pdf). ‘Low level’ of education corresponds to levels 00, 10, and 20 of ISCED 2011. The person should be encoded ‘1’ if the mother could neither read nor write in any language even if she had had some formal education. If the mother had never been in education but could read and/or write in any language (i.e. in particular not only the survey language(s)), it should be encoded as value 1 ‘low level’. ‘Medium level’ of education corresponds to levels 30 to 49 of ISCED 2011. ‘High level’ of education corresponds to ISCED level 50 and higher. For detailed guidelines, please refer to the ‘Methodological guidelines 2023 operation’, PE021 variable."
PT130,ACTIVITY STATUS OF THE FATHER WHEN,"The main activity status is, in principle, determined by how most time was spent, but no criteria have been specified. - Employees are defined as persons who work for a public or private employer based on a written or oral contract and who receive a payment in cash or in kind. This payment does not directly depend upon the revenue of the unit for which they work. Members of the armed forces are also included. Employees usually work under the direct supervision of, or according to guidelines set by, the employing organisation or business. - Self-employed persons are defined as persons who work in their own business, professional practice or farm for the purpose of earning a profit derived from the goods or services produced, including family workers. Family workers (unpaid) are persons who help another member of the family to run a farm or other business, provided they are not considered as employees. - Persons ‘in retirement’ are those who receive a pension or who have stopped working or given up their business because of their age or an age-related health problem. However, they could still work e.g. in a minor job. Persons that are in early retirement for reasons unconnected to a health condition can also choose this category."
PT160,ACTIVITY STATUS OF THE MOTHER WHEN,"The main activity status is, in principle, determined by how the most time was spent, but no criteria have been specified. - Employees are defined as persons who work for a public or private employer based on a written or oral contract and who receive a payment in cash or in kind. This payment in cash or in kind does not directly depend upon the revenue of the unit for which they work. Members of the armed forces are also included. Employees usually work under the direct supervision of, or according to guidelines set by, the employing organisation or business. - Self-employed persons are defined as persons who work in their own business, professional practice or farm for the purpose of earning a profit derived from the goods or services produced, including family workers. Family workers (unpaid) are persons who help another member of the family to run a farm or other business, provided they are not considered as employees. - Persons ‘in retirement’ are those who receive a pension or who have finally stopped working or given up their business because of their age or an age-related health condition. However, they could still work e.g. in a minor job. Persons that are in early retirement for reasons unconnected to health problems can also choose this category."
PT150,MAIN OCCUPATION OF THE FATHER WHEN,"The main occupation should be encoded according to the International Standard Classification of Occupations, version 2008 (ISCO-08). For the detailed guidelines please refer to http://ec.europa.eu/eurostat/documents/1978984/6037342/ISCO-08.pdf and the Annex ISCO: International Standard Classification of Occupations. If the father (or person considered as a father) had more than one job simultaneously, the occupation refers to the job where the greatest number of hours were usually worked. Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤59 and [PT240 in (3, 4) or PT220=2] >> go to the next question IF 25 ≤ Age ≤ 59 and PT240 in (1, 2) and PT220 = 1 >> go to PT150_Q1 PT150_Q1: What was your father’s [or other parent’s if you had same-sex parents] main occupation when you were around 14 years old? ____ (ISCO-08, 1 digit) 99 Don’t know"
PT180,MAIN OCCUPATION OF THE MOTHER WHEN,"The main occupation should be encoded according to the International Standard Classification of Occupations, version 2008 (ISCO-08). For he detailed guidelines please refer to http://ec.europa.eu/eurostat/documents/1978984/6037342/ISCO-08.pdf and the Annex: ISCO: International Standard Classification of Occupations. If the mother (or person considered as a mother) had more than one job simultaneously, the occupation refers to the job where the greatest number of hours were usually worked. Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤ 59 and [PT230 in (3, 4) or PT220=2] >> go to the next question IF 25 ≤ Age ≤ 59 and PT230 in (1, 2) and PT220 = 1 >> go to PT180_Q1 PT180_Q1: What was your mother’s [or parent’s if you had same-sex parents] main occupation when you were around 14 years old? ____ (ISCO-08, 1 digit) 99 Don’t know"
PT210,TENANCY STATUS WHEN RESPONDENT WAS,"The tenancy status refers to the accommodation in which the respondent was living when they were around 14 years old. If the respondent’s tenancy status changed during the reference period, the answer should be based on the accommodation in which the respondent spent most of their time during the period. Owned: Accommodation is considered to be owned if (at least) one of the members of the household has a title deed to the accommodation. If, for instance, the accommodation was provided by a relative (such as by the respondent’s grandparents) who was not a member of the household, then it should be recorded as either ‘rented’ or ‘accommodation was provided free’, depending on whether or not rent was paid by this household. Households that had an outstanding mortgage for the purchase of the accommodation or paid part rent and part mortgage for their accommodation should be classified as ‘owners’ if they possessed a title deed. Rented: The tenant was a member of the household. It includes tenants or subtenants paying rent at the prevailing or market rate or at a reduced rate. Accommodation was provided free: ‘Accommodation was provided free’ applies only when there was no rent to be paid, such as when the accommodation came with the job, or was provided rent-free. This includes cases where free rent is granted by law as a result of a social housing scheme, for private reasons or by an employer. Suggested question: FILTER: IF Age < 25 or Age > 59, then go to the next question IF 25≤ Age ≤59 and PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT210_Q1"
PT190,FINANCIAL SITUATION OF THE HOUSEHOLD WHEN,"The objective is to assess the respondent’s feelings about the financial situation of the household in which they were living when they were around 14 years old. One or both parents could be living in the same private household as the respondent or elsewhere. For a respondent who alternated between two households and spent an equal amount of time with both legal guardians or parents (when they were around 14 years old), please use the same household indicated for PT220 ‘Type of household’ when the respondent was around 14 years old. Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤ 59 and or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT190_Q1 PT190_Q1: When you were around 14 years old, how would you assess the financial situation of your household? 1. Very bad 2. Bad 3. Moderately bad 4. Moderately good 5. Good 6. Very good 99. Don’t know"
PT260,BASIC SCHOOL NEEDS (BOOKS AND EQUIPMENT,"This variable holds for the entire group of children aged between 1 and 18 who were attending school and residing in the household of the respondent when they were around 14 years old. The objective is to determine whether the basic school needs of the respondent and other children in their household were met when the respondent was around 14 years old. Even if the needs of only one child were not met, the entire group of children in the household are assumed not to have had their needs met. Even if only one child did not have their basic school needs met because the household could not afford it, then the answer category should be ‘No, due to financial reasons’. ’Basic school needs’ should be understood as e.g. books and equipment needed for school. Equipment should be understood as notepads, school supplies, and clothes for PE lessons. Suggested question: FILTER: IF [Age < 25 or Age > 59] or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT260_Q1 PT260_Q1: Did all the children in your household have all their basic school needs met (books and equipment for school) when you were around 14 years old? 1. Yes 2. No, due to financial reasons 3. No, other reasons"
PT270,"HAVING DAILY MEAL WITH MEAT, CHICKEN, FISH (OR","This variable holds for the entire group of children aged between 1 and 18 who were residing in the household of the respondent when they were around 14 years old. The objective is to determine whether the respondent and other children in their household had at least one meal with meat, chicken, fish or vegetarian equivalent daily when the respondent was around 14 years old. Even if only one child did not have these foods, the entire group of children in the household are assumed not to have had them. Even if only one child did not have such food because the household could not afford it, then the answer category should be ‘No, due to financial reasons’. Suggested question: FILTER: IF [Age < 25 or Age > 59] or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT270_Q1 PT270_Q1: Did all the children in your household have at least one meal with meat, chicken, fish, or vegetarian equivalent at least once a day when you were around 14 years old? 1. Yes 2. No, due to financial reasons 3. No, other reasons"
